"","name","longitude","latitude"
"439","Clangula hyemalis",-70.22698,41.48018
"440","Clangula hyemalis",-70.22254,41.58659
"441","Clangula hyemalis",-70.38574,41.5271
"442","Clangula hyemalis",-70.14368,41.35126
"443","Clangula hyemalis",-70.09044,41.51084
"444","Clangula hyemalis",-70.0654,41.46996
"445","Clangula hyemalis",-70.03239,41.57701
"446","Clangula hyemalis",-70.3315,41.36603
"447","Clangula hyemalis",-70.22294,41.52429
"448","Clangula hyemalis",-70.37966,41.36393
"449","Clangula hyemalis",-70.33161,41.42878
"450","Clangula hyemalis",-70.11575,41.49534
"451","Clangula hyemalis",-70.1943,41.562
"452","Clangula hyemalis",-70.08875,41.59118
"453","Clangula hyemalis",-70.11527,41.54255
"454","Clangula hyemalis",-70.22421,41.58098
"455","Clangula hyemalis",-70.11647,41.47503
"456","Clangula hyemalis",-70.11664,41.4594
"457","Clangula hyemalis",-70.06274,41.58041
"458","Clangula hyemalis",-70.1991,41.35584
"459","Clangula hyemalis",-70.2265,41.49458
"460","Clangula hyemalis",-70.23044,41.35548
"461","Clangula hyemalis",-70.22392,41.58196
"462","Clangula hyemalis",-70.14414,41.51862
"463","Clangula hyemalis",-70.0648,41.42156
"464","Clangula hyemalis",-70.41737,41.3619
"465","Clangula hyemalis",-70.27616,41.44206
"466","Clangula hyemalis",-70.22472,41.5616
"467","Clangula hyemalis",-70.17044,41.58793
"468","Clangula hyemalis",-70.08815,41.41122
"469","Clangula hyemalis",-70.3344,41.50118
"470","Clangula hyemalis",-70.11586,41.49253
"471","Clangula hyemalis",-70.14303,41.42861
"472","Clangula hyemalis",-70.116,41.561
"473","Clangula hyemalis",-70.33231,41.48594
"474","Clangula hyemalis",-70.30684,41.51698
"475","Clangula hyemalis",-70.06292,41.39152
"476","Clangula hyemalis",-70.0583,41.6081
"477","Clangula hyemalis",-70.17044,41.58702
"478","Clangula hyemalis",-70.11664,41.52147
"479","Clangula hyemalis",-70.06066,41.5943
"480","Clangula hyemalis",-70.11691,41.3868
"481","Clangula hyemalis",-70.20056,41.46692
"482","Clangula hyemalis",-70.38258,41.43946
"483","Clangula hyemalis",-70.06176,41.59244
"484","Clangula hyemalis",-70.18922,41.48329
"485","Clangula hyemalis",-70.19415,41.55117
"486","Clangula hyemalis",-70.38184,41.41728
"487","Clangula hyemalis",-70.19636,41.51316
"488","Clangula hyemalis",-70.12074,41.43302
"489","Clangula hyemalis",-70.23209,41.37755
"490","Clangula hyemalis",-70.26808,41.39768
"491","Clangula hyemalis",-70.1412,41.44307
"492","Clangula hyemalis",-70.11416,41.5854
"493","Clangula hyemalis",-70.17312,41.39015
"494","Clangula hyemalis",-70.11906,41.38471
"495","Clangula hyemalis",-70.41539,41.42089
"496","Clangula hyemalis",-70.3093,41.37539
"497","Clangula hyemalis",-70.11644,41.4422
"498","Clangula hyemalis",-70.3643,41.40418
"499","Clangula hyemalis",-70.08743,41.55112
"500","Clangula hyemalis",-70.1194,41.42752
"501","Clangula hyemalis",-70.19405,41.557
"502","Clangula hyemalis",-70.26664,41.37609
"503","Clangula hyemalis",-70.08504,41.39051
"504","Clangula hyemalis",-70.14433,41.46952
"505","Clangula hyemalis",-70.33254,41.43995
"506","Clangula hyemalis",-70.11459,41.54126
"507","Clangula hyemalis",-70.14349,41.35932
"508","Clangula hyemalis",-70.38061,41.38066
"509","Clangula hyemalis",-70.36271,41.38177
"510","Clangula hyemalis",-70.26656,41.37502
"511","Clangula hyemalis",-70.11453,41.53975
"512","Clangula hyemalis",-70.08984,41.5218
"513","Clangula hyemalis",-70.13149,41.53492
"514","Clangula hyemalis",-70.30776,41.40308
"515","Clangula hyemalis",-70.09039,41.4657
"516","Clangula hyemalis",-70.35912,41.45147
"517","Clangula hyemalis",-70.36269,41.34909
"518","Clangula hyemalis",-70.14592,41.57726
"519","Clangula hyemalis",-70.227,41.46919
"520","Clangula hyemalis",-70.06633,41.47409
"521","Clangula hyemalis",-70.0866,41.56224
"522","Clangula hyemalis",-70.1156,41.40078
"523","Clangula hyemalis",-70.3594,41.42888
"524","Clangula hyemalis",-70.386,41.36388
"525","Clangula hyemalis",-70.16972,41.43332
"526","Clangula hyemalis",-70.08855,41.57357
"527","Clangula hyemalis",-70.17411,41.39622
"528","Clangula hyemalis",-70.09014,41.4466
"529","Clangula hyemalis",-70.08481,41.43506
"530","Clangula hyemalis",-70.338,41.3438
"531","Clangula hyemalis",-70.33119,41.41939
"532","Clangula hyemalis",-70.06222,41.50111
"533","Clangula hyemalis",-70.22653,41.49361
"534","Clangula hyemalis",-70.36179,41.48111
